dataset,model,contamination,precision,recall,fbeta,best_fbeta,best_precision,best_recall,avg_fbeta,avg_precision,avg_recall,n_anomalies_detected,n_anomalies_actual,true_positives,false_positives,true_negatives,false_negatives
Yahoo A1,LastValue,0.0,0.034458509142053444,0.07848970251716247,0.04789165037698966,0.16015252621544326,0.3230769230769231,0.1927710843373494,0.03206326531396413,0.03880685770159177,0.06049702571206446,9954,4370,343,9611,108659,4027
Yahoo A1,LSTM + STL,0.0,0.32490272373540857,0.19107551487414187,0.2406340057636888,0.5663716814159292,0.96875,0.7368421052631579,0.19424828478917372,0.264891857927633,0.2314817425251332,2570,4370,835,1735,116535,3535
Yahoo A1,LSTM,0.0,0.1997164628743576,0.2578947368421053,0.2251073604314391,0.9928057553956835,1.0,1.0,0.22278070792129406,0.29036821434613186,0.25961619346223663,5643,4370,1127,4516,113754,3243
Yahoo A1,ADSaS,0.0,0.12843746707407017,0.2789473684210526,0.1758891854844528,0.5538461538461539,1.0,0.8421052631578947,0.14267660584943673,0.21469069211799519,0.35962888266856485,9491,4370,1219,8272,109998,3151
Yahoo A1,LastValue,0.01,0.03741454319453076,0.0688787185354691,0.048489730165122834,0.14719411223551057,0.3416666666666667,0.12578616352201258,0.029917391525067054,0.03985475843496841,0.049630667235793624,8045,4370,301,7744,110526,4069
Yahoo A1,LSTM + STL,0.01,0.37265181301878547,0.1951945080091533,0.25619462381739,0.64,0.975103734439834,0.8275862068965517,0.20942268497836483,0.31555710492791145,0.24146026658199937,2289,4370,853,1436,116834,3517
Yahoo A1,LSTM,0.01,0.24689292543021032,0.23638443935926773,0.24152443301379473,0.9928057553956835,1.0,1.0,0.227004423315977,0.31831961068326586,0.25267962800779925,4184,4370,1033,3151,115119,3337
Yahoo A1,ADSaS,0.01,0.19644334160463192,0.21739130434782608,0.20638713882250706,0.53125,1.0,0.7894736842105263,0.1822834260364279,0.310898475191304,0.2970586103404698,4836,4370,950,3886,114384,3420
Yahoo A1,LastValue,0.02,0.03904501367818951,0.07185354691075514,0.05059619722848856,0.15924170616113742,0.3157894736842105,0.2413793103448276,0.029528044285357512,0.03788250735119359,0.05232232701359667,8042,4370,314,7728,110542,4056
Yahoo A1,LSTM + STL,0.02,0.3937592867756315,0.18192219679633867,0.24886523712631087,0.4537487828627069,1.0,0.631578947368421,0.20425322542192678,0.332518477560448,0.2118214676203784,2019,4370,795,1224,117046,3575
Yahoo A1,LSTM,0.02,0.27489009568140677,0.24324942791762014,0.25810367852373434,0.9928057553956835,1.0,1.0,0.22304313713896592,0.3095843038126744,0.2355625379022436,3867,4370,1063,2804,115466,3307
Yahoo A1,ADSaS,0.02,0.20549893339653946,0.19839816933638443,0.20188613342647574,0.39433771486349845,1.0,0.6896551724137931,0.16004792528540843,0.26075001873070525,0.271325750024437,4219,4370,867,3352,114918,3503
Yahoo A1,LastValue,0.03,0.03606789250353607,0.05835240274599542,0.044580419580419584,0.14719411223551057,0.3416666666666667,0.14606741573033707,0.02754715374734832,0.03972795779705894,0.04143405258157107,7070,4370,255,6815,111455,4115
Yahoo A1,LSTM + STL,0.03,0.3511767420396862,0.17414187643020596,0.2328285146091479,0.6129032258064515,1.0,0.7368421052631579,0.18312364730230749,0.3058421705127628,0.20868565150338175,2167,4370,761,1406,116864,3609
Yahoo A1,LSTM,0.03,0.27959977765425237,0.23020594965675056,0.2525100401606426,0.9818181818181818,1.0,1.0,0.20000060572081685,0.25166619714783567,0.21436316325698215,3598,4370,1006,2592,115678,3364
Yahoo A1,ADSaS,0.03,0.2164894996110967,0.19107551487414187,0.20299015436975812,0.5454545454545454,1.0,0.7368421052631579,0.19184628247152993,0.31366472525879535,0.2701302570344547,3857,4370,835,3022,115248,3535
Yahoo A1,LastValue,0.04,0.041744548286604365,0.06132723112128147,0.04967562557924003,0.1652892561983471,0.3,0.20125786163522014,0.027176209723289945,0.038299935161297365,0.03962455850478429,6420,4370,268,6152,112118,4102
Yahoo A1,LSTM + STL,0.04,0.42686567164179107,0.16361556064073227,0.23655913978494622,0.5128205128205129,1.0,0.7368421052631579,0.18922048519005374,0.3539707198594987,0.18991073004217668,1675,4370,715,960,117310,3655
Yahoo A1,LSTM,0.04,0.2953599048185604,0.22723112128146453,0.2568546301086394,0.9781021897810218,1.0,1.0,0.20125158317121997,0.2479606690430876,0.2166825844370357,3362,4370,993,2369,115901,3377
Yahoo A1,ADSaS,0.04,0.21289274106175515,0.17986270022883294,0.19498883651699328,0.5714285714285714,1.0,0.6842105263157895,0.18155165926400424,0.29099972805817426,0.24137619389097517,3692,4370,786,2906,115364,3584
Yahoo A1,LastValue,0.05,0.04172274562584118,0.056750572082379866,0.04808997479154548,0.15924170616113742,0.3157894736842105,0.14606741573033707,0.027050863441301764,0.038668771267416725,0.03931652529113039,5944,4370,248,5696,112574,4122
Yahoo A1,LSTM + STL,0.05,0.4078389830508475,0.17620137299771166,0.24608501118568232,0.47058823529411764,1.0,0.6842105263157895,0.1824083249724417,0.3912653497380442,0.17709223478718156,1888,4370,770,1118,117152,3600
Yahoo A1,LSTM,0.05,0.24779319041614123,0.17986270022883294,0.20843277645186953,0.9781021897810218,1.0,1.0,0.20098222080046466,0.31084056795365245,0.19127076281483185,3172,4370,786,2386,115884,3584
Yahoo A1,ADSaS,0.05,0.2815909890883492,0.18306636155606407,0.22188323394813478,0.5714285714285714,1.0,0.8947368421052632,0.18206384289855776,0.31190299789402764,0.23745229383812783,2841,4370,800,2041,116229,3570
NAB Tweets,LastValue,0.0,0.002037315033240403,0.04387990762124711,0.0038938415821293164,0.02588996763754045,0.01606425702811245,0.07692307692307693,0.005291464675303556,0.003038428218115668,0.03462820620908856,9326,433,19,9307,149390,414
NAB Tweets,LSTM + STL,0.0,0.2512479201331115,0.34872979214780603,0.2920696324951644,0.4444444444444445,1.0,1.0,0.2806728089431837,0.3473460179883128,0.41037676585470706,601,433,151,450,158247,282
NAB Tweets,LSTM,0.0,0.13966480446927373,0.6351039260969977,0.22897585345545377,0.6769230769230768,0.9032258064516129,1.0,0.3744903650892877,0.36602214429188346,0.6955776712026712,1969,433,275,1694,157003,158
NAB Tweets,ADSaS,0.0,0.16220130340333092,0.5173210161662818,0.24696802646085997,0.5903614457831325,0.7313432835820896,1.0,0.2488238153627272,0.20374783736154792,0.5893195167092226,1381,433,224,1157,157540,209
NAB Tweets,LastValue,0.01,0.0021180321555790893,0.050808314087759814,0.004066543438077634,0.02588996763754045,0.01606425702811245,0.07692307692307693,0.0054914287840904154,0.00314333297811649,0.039291693225516754,10387,433,22,10365,148332,411
NAB Tweets,LSTM + STL,0.01,0.2641165755919854,0.3348729792147806,0.29531568228105903,0.489795918367347,0.9285714285714286,1.0,0.29514738335619806,0.34069987398974033,0.4159451792907675,549,433,145,404,158293,288
NAB Tweets,LSTM,0.01,0.1806615776081425,0.6558891454965358,0.2832917705735661,0.6769230769230768,0.9090909090909091,1.0,0.3659828675720339,0.3486730219266508,0.7374383911883912,1572,433,284,1288,157409,149
NAB Tweets,ADSaS,0.01,0.12375138734739179,0.5150115473441108,0.1995525727069351,0.5903614457831325,0.7313432835820896,1.0,0.24316921407218714,0.19706184199419402,0.5561132080249728,1802,433,223,1579,157118,210
NAB Tweets,LastValue,0.02,0.0020884754129485475,0.050808314087759814,0.004012036108324975,0.02588996763754045,0.01606425702811245,0.07692307692307693,0.005490528912185419,0.003142848020727087,0.039291693225516754,10534,433,22,10512,148185,411
NAB Tweets,LSTM + STL,0.02,0.18782791185729275,0.4133949191685912,0.2582972582972583,0.4150943396226415,0.9285714285714286,1.0,0.2540709750357869,0.2400955636973731,0.5154839176898001,953,433,179,774,157923,254
NAB Tweets,LSTM,0.02,0.16754756871035942,0.7321016166281755,0.27268817204301077,0.696969696969697,0.696969696969697,1.0,0.38507711068112704,0.3202171039910974,0.7386584792834794,1892,433,317,1575,157122,116
NAB Tweets,ADSaS,0.02,0.10181311018131102,0.5057736720554272,0.1695046439628483,0.5594405594405594,0.9090909090909091,1.0,0.2035489118519252,0.18242537031950115,0.5796622239269298,2151,433,219,1932,156765,214
NAB Tweets,LastValue,0.03,0.002425222312045271,0.04849884526558892,0.004619445666520019,0.02588996763754045,0.01606425702811245,0.07692307692307693,0.00570511484687483,0.0032607016996472177,0.037330908911791263,8659,433,21,8638,150059,412
NAB Tweets,LSTM + STL,0.03,0.16778523489932887,0.4618937644341801,0.24615384615384617,0.6114649681528662,0.8275862068965517,1.0,0.2918938031827578,0.2641590827632891,0.5079571828101239,1192,433,200,992,157705,233
NAB Tweets,LSTM,0.03,0.1776061776061776,0.6374133949191686,0.27780573729240066,0.6250000000000001,0.9473684210526315,1.0,0.3505322857385262,0.3410155168931776,0.7152098558348559,1554,433,276,1278,157419,157
